置賜弁テスト,1,1,-32768,見出し結果表示,品詞1,品詞2,品詞3,品詞4,品詞9(活用形),品詞10(活用形),ヨミ,正規化表記,*,*,*,*,*
んだもんだがら,5930,5930,-32768,んだもんだがら,接続詞,動詞,助動詞,,,方言,ンダモンダ ガラ,そうしたら,*,*,*,*,*
んだもんだがら,5930,5930,-32768,んだもんだがら,接続詞,動詞,助動詞,,,方言,ンダモンダ ガラ,そうだから,*,*,*,*,*
んだもんで,5930,5930,-32768,んだもんで,接続詞,動詞,助動詞,,,方言,ンダモンデ,そうしたら,*,*,*,*,*
んだもんで,5930,5930,-32768,んだもんで,接続詞,,,,,方言,ンダモンデ,それで,*,*,*,*,*
こんじゃ,5930,5930,-32768,こんじゃ,接続詞,,,,不変,方言,,なら,*,*,*,*,*
ごんじゃ,5930,5930,-32768,ごんじゃ,接続詞,,,,不変,方言,,なら,*,*,*,*,*
こんだ,5930,5930,-32768,こんだ,接続詞,,,,不変,方言,,なら,*,*,*,*,*
こんだらば,5930,5930,-32768,こんだらば,接続詞,,,,不変,方言,,なら,*,*,*,*,*
が,5692,5692,-32768,が,接尾辞,,,,終助詞,方言,ガ,か,*,*,*,*,*
だ,5692,5692,-32768,だ,接尾辞,,,,,方言,ダ,たち,*,*,*,*,*
めら,5692,5692,-32768,めら,接尾辞,,,,,方言,メラ,たち,*,*,*,*,*
ぞ,5692,5692,-32768,ぞ,接尾辞,,,,不変,方言,ゾ,よ,*,*,*,*,*
いぎなし,4,4,-32768,いぎなし,副詞,,,,,方言,イギナシ,いきなり,*,*,*,*,*
いまちっと,4,4,-32768,いまちっと,副詞,,,,,方言,イマ チット,もう少し,*,*,*,*,*
いまっと,4,4,-32768,いまっと,副詞,,,,,方言,イマット,もっと,*,*,*,*,*
えらぐ,4,4,-32768,えらぐ,副詞,,,,,方言,エラグ,とても,*,*,*,*,*
かまーず,4,4,-32768,かまーず,副詞,,,,,方言,カマーズ,いつも,*,*,*,*,*
かんなし,4,4,-32768,かんなし,副詞,,,,,方言,カンナシ,とても,*,*,*,*,*
ころっと,4,4,-32768,ころっと,副詞,,,,,方言,コロット,まったく,*,*,*,*,*
さえさえ,4,4,-32768,さえさえ,副詞,,,,,方言,サエサエ,ちょくちょく,*,*,*,*,*
じぎ,4,4,-32768,じぎ,副詞,,,,,方言,ジギ,すぐ,*,*,*,*,*
しぴたれ,4,4,-32768,しぴたれ,副詞,,,,,方言,シピタレ,クヨクヨ,*,*,*,*,*
しゃで,4,4,-32768,,副詞,,,,,方言,シャデ,ついでに,*,*,*,*,*
ずきずき,4,4,-32768,ずきずき,副詞,,,,,方言,ズキズキ,脈打つような,*,*,*,*,*
すこだま,4,4,-32768,すこだま,副詞,,,,,方言,スコダマ,とても,*,*,*,*,*
だえぎり,4,4,-32768,だえぎり,副詞,,,,,方言,ダエギリ,全く,*,*,*,*,*
だっぷり,4,4,-32768,だっぷり,副詞,,,,,方言,ダップリ,たっぷり,*,*,*,*,*
ちっと,4,4,-32768,ちっと,副詞,,,,,方言,チット,ちょっと,*,*,*,*,*
ちびっと,4,4,-32768,ちびっと,副詞,,,,,方言,チビット,ちょっと,*,*,*,*,*
ちゃちゃっと,4,4,-32768,ちゃちゃっと,副詞,,,,,方言,チャチャット,テキパキと,*,*,*,*,*
ちゃっちゃど,4,4,-32768,ちゃっちゃど,副詞,,,,,方言,チャッチャド,テキパキ,*,*,*,*,*
ちゃんと,4,4,-32768,ちゃんと,副詞,,,,,方言,チャント,きちんと,*,*,*,*,*
ちょど,4,4,-32768,ちょど,副詞,,,,,方言,チョド,じっと,*,*,*,*,*
ちょぺっと,4,4,-32768,ちょぺっと,副詞,,,,,方言,チョペット,ちょっと,*,*,*,*,*
とおし,4,4,-32768,とおし,副詞,,,,複合語方言,方言,トオシ,いつも,*,*,*,*,*
